# time x y z roll pitch yaw
1775726523.391895 4.285716 -0.110221 -0.003735 0.009147 0.022851 -0.009456
1775726533.392322 12.249615 -0.433831 0.011297 0.007432 0.023366 -0.029634
1775726543.396857 21.813251 -1.046709 0.042671 0.015941 0.024495 -0.051447
1775726553.396456 28.512889 -1.594271 0.037040 0.011943 0.026943 -0.069500
1775726563.396514 36.575189 -2.418574 0.051074 0.008189 0.023858 -0.090857
1775726573.396585 46.473510 -3.311999 0.060461 0.010545 0.028528 -0.048188
1775726583.396011 57.173054 -4.207924 0.096571 0.010856 0.018764 -0.073552
1775726593.396357 69.683997 -5.011347 0.074229 0.005556 0.026466 -0.044751
1775726603.396823 82.374448 -5.759694 0.062203 0.007506 0.029967 0.009716
1775726613.392413 93.999329 -6.078717 0.046741 0.022841 0.028138 -0.017007
1775726623.396234 103.991204 -6.597902 0.014174 0.023187 0.029517 -0.042245
1775726633.396115 113.671505 -5.321035 -0.032393 0.012183 0.030020 0.479832
1775726643.396453 118.871595 3.339480 -0.101945 -0.006340 0.021825 1.184587
1775726653.396508 119.535587 12.408119 -0.103010 -0.004516 0.026144 1.520681
1775726663.395808 120.668820 25.999506 -0.076178 -0.000070 0.026007 1.494493
1775726673.394290 121.450402 38.207195 -0.037453 -0.003456 0.022307 1.565132
1775726683.391558 122.458013 53.770765 0.000824 0.014905 0.025171 1.523407
1775726693.391960 123.245683 66.703251 0.060507 0.028039 0.025085 1.541362
1775726703.393203 123.760495 75.849908 0.086982 0.023842 0.022627 1.540436
1775726713.395796 123.440928 83.162281 0.150869 0.027815 0.009456 1.843681
1775726723.395186 114.297779 86.754681 0.236275 -0.000650 0.004570 2.865698
1775726733.391487 104.610620 89.610741 0.396922 -0.007780 0.011248 2.784030
1775726743.396838 99.927799 91.511730 0.551838 0.008357 -0.038964 2.778796
1775726753.396297 94.058267 92.573311 0.547044 -0.002328 0.013053 3.087682
1775726763.395793 83.348797 93.118071 0.695806 -0.003901 0.014474 3.099215
1775726773.391889 72.555060 93.685803 0.876868 0.001231 0.012553 3.106910
1775726783.393057 60.381821 94.036337 1.100281 -0.002332 0.004537 3.134691
1775726793.395684 48.099912 94.502513 1.345649 0.003529 0.004868 3.112512
1775726803.396470 37.567273 94.824924 1.598606 0.003358 0.005960 3.125109
1775726813.396477 27.414896 95.098097 1.813686 -0.000415 0.003434 3.131534
1775726823.396477 17.138726 95.131688 2.007270 0.004610 0.007431 -3.093502
1775726833.391761 6.364162 93.975683 2.284487 0.006955 0.004457 -3.016688
1775726843.396746 -2.830869 91.029380 2.483132 -0.008900 0.012261 -2.485741
1775726853.389702 -5.532006 80.494299 2.620642 -0.013439 0.025045 -1.684098
1775726863.392522 -6.086890 70.468008 2.600305 -0.012997 0.025818 -1.612448
1775726873.452384 -6.759256 60.272174 2.625374 -0.010948 0.016577 -1.623782
1775726883.394108 -7.691128 48.345536 2.678403 -0.013549 0.027508 -1.638554
1775726893.391649 -7.897656 36.020942 2.754654 -0.012921 0.022346 -1.567652
1775726903.392589 -8.202525 23.802321 2.837951 -0.009644 0.014451 -1.586410
1775726913.391675 -8.643023 9.632200 3.000181 -0.013470 0.024394 -1.572186
1775726923.396468 -9.041987 -4.797679 3.119851 -0.004195 0.024163 -1.587269
1775726933.391746 -9.444504 -16.511598 3.238096 -0.005280 0.014766 -1.578043
1775726943.394331 -9.968698 -29.560332 3.312322 -0.004529 0.029316 -1.606299
1775726953.389830 -10.673211 -40.483630 3.461829 0.007897 0.005220 -1.619699
1775726963.395705 -11.380309 -52.331689 3.641195 0.005742 0.014509 -1.588361
1775726973.395782 -11.179061 -67.674097 3.835589 0.010490 0.017825 -1.541564
1775726983.391853 -11.188331 -78.444959 4.007982 0.004623 0.013404 -1.568791
1775726993.396130 -11.469174 -90.647120 4.170418 0.007212 0.032861 -1.583658
1775727003.397105 -12.180461 -106.563989 4.315862 0.014497 0.021286 -1.608783
1775727013.396843 -12.821250 -120.265599 4.391369 0.014234 0.036629 -1.588957
1775727023.396549 -12.697055 -116.739912 4.383393 0.008851 0.020799 -1.585884
1775727033.397125 -12.397458 -102.631140 4.282392 0.015042 0.016421 -1.560687
1775727043.391969 -11.801275 -92.081286 4.167936 0.014503 0.014906 -1.586744
1775727053.392555 -11.508665 -88.381565 4.138748 0.004597 0.014330 -1.475320
1775727063.392197 -4.796868 -92.338497 4.205239 -0.015687 0.029867 -0.317984
1775727073.395817 8.638602 -92.778457 4.195692 -0.010043 0.036500 -0.007259
1775727083.395880 17.965967 -92.956373 4.164451 -0.001689 0.033193 -0.003450
1775727093.392363 36.336895 -93.613938 4.069853 -0.010337 0.032083 -0.018381
